UF;Tipo Crime;Ano;Mês;Sexo da Vítima;Vítimas
AL;Roubo seguido de morte (latrocínio);2022;agosto;Feminino;1
AL;Roubo seguido de morte (latrocínio);2022;agosto;Masculino;1
AL;Roubo seguido de morte (latrocínio);2022;agosto;Sexo NI;0
AL;Roubo seguido de morte (latrocínio);2022;setembro;Masculino;1
AL;Roubo seguido de morte (latrocínio);2022;outubro;Masculino;2
AP;Homicídio doloso;2022;janeiro;Feminino;0
AP;Homicídio doloso;2022;janeiro;Masculino;16
AP;Homicídio doloso;2022;janeiro;Sexo NI;0
AP;Homicídio doloso;2022;fevereiro;Feminino;0
AP;Homicídio doloso;2022;fevereiro;Masculino;18
AP;Homicídio doloso;2022;fevereiro;Sexo NI;2
AP;Homicídio doloso;2022;março;Feminino;1
AP;Homicídio doloso;2022;março;Masculino;11
AP;Homicídio doloso;2022;março;Sexo NI;0
AP;Homicídio doloso;2022;abril;Feminino;1
AP;Homicídio doloso;2022;abril;Masculino;14
AP;Homicídio doloso;2022;maio;Masculino;13
AP;Homicídio doloso;2022;junho;Masculino;13
AP;Homicídio doloso;2022;julho;Masculino;13
AP;Homicídio doloso;2022;agosto;Feminino;4
AP;Homicídio doloso;2022;agosto;Masculino;18
AP;Homicídio doloso;2022;agosto;Sexo NI;0
AP;Homicídio doloso;2022;setembro;Feminino;2
AP;Homicídio doloso;2022;setembro;Masculino;7
AP;Homicídio doloso;2022;outubro;Feminino;1
AP;Homicídio doloso;2022;outubro;Masculino;13
AP;Homicídio doloso;2022;novembro;Feminino;1
AP;Homicídio doloso;2022;novembro;Masculino;20
AP;Homicídio doloso;2022;dezembro;Feminino;3
AP;Homicídio doloso;2022;dezembro;Masculino;23
AP;Homicídio doloso;2022;dezembro;Sexo NI;0
AP;Lesão corporal seguida de morte;2022;janeiro;Feminino;0
AP;Lesão corporal seguida de morte;2022;janeiro;Masculino;0
AP;Lesão corporal seguida de morte;2022;janeiro;Sexo NI;0
AP;Lesão corporal seguida de morte;2022;fevereiro;Feminino;0
AP;Lesão corporal seguida de morte;2022;fevereiro;Masculino;0
AP;Lesão corporal seguida de morte;2022;fevereiro;Sexo NI;0
AP;Lesão corporal seguida de morte;2022;março;Feminino;0
AP;Lesão corporal seguida de morte;2022;março;Masculino;1
AP;Lesão corporal seguida de morte;2022;março;Sexo NI;0
AP;Lesão corporal seguida de morte;2022;maio;Masculino;2
AP;Lesão corporal seguida de morte;2022;junho;Masculino;2
AP;Lesão corporal seguida de morte;2022;julho;Masculino;2
AP;Lesão corporal seguida de morte;2022;agosto;Masculino;1
AP;Lesão corporal seguida de morte;2022;setembro;Masculino;1
AP;Lesão corporal seguida de morte;2022;outubro;Feminino;1
AP;Lesão corporal seguida de morte;2022;novembro;Masculino;2
AP;Lesão corporal seguida de morte;2022;dezembro;Masculino;2
AP;Roubo seguido de morte (latrocínio);2022;janeiro;Feminino;0
AP;Roubo seguido de morte (latrocínio);2022;janeiro;Masculino;7
AP;Roubo seguido de morte (latrocínio);2022;janeiro;Sexo NI;0
AP;Roubo seguido de morte (latrocínio);2022;fevereiro;Feminino;0
AP;Roubo seguido de morte (latrocínio);2022;fevereiro;Masculino;2
AP;Roubo seguido de morte (latrocínio);2022;fevereiro;Sexo NI;0
AP;Roubo seguido de morte (latrocínio);2022;março;Feminino;0
AP;Roubo seguido de morte (latrocínio);2022;março;Masculino;1
AP;Roubo seguido de morte (latrocínio);2022;março;Sexo NI;0
AP;Roubo seguido de morte (latrocínio);2022;abril;Masculino;2
AP;Roubo seguido de morte (latrocínio);2022;maio;Masculino;2
AP;Roubo seguido de morte (latrocínio);2022;junho;Masculino;3
AP;Roubo seguido de morte (latrocínio);2022;julho;Masculino;1
AP;Roubo seguido de morte (latrocínio);2022;agosto;Masculino;1
AP;Roubo seguido de morte (latrocínio);2022;setembro;Masculino;2
AP;Roubo seguido de morte (latrocínio);2022;dezembro;Feminino;0
AP;Roubo seguido de morte (latrocínio);2022;dezembro;Masculino;3
AM;Homicídio doloso;2022;janeiro;Feminino;3
AM;Homicídio doloso;2022;janeiro;Masculino;93
AM;Homicídio doloso;2022;janeiro;Sexo NI;1
AM;Homicídio doloso;2022;fevereiro;Feminino;8
AM;Homicídio doloso;2022;fevereiro;Masculino;85
AM;Homicídio doloso;2022;fevereiro;Sexo NI;0
AM;Homicídio doloso;2022;março;Feminino;3
AM;Homicídio doloso;2022;março;Masculino;96
AM;Homicídio doloso;2022;março;Sexo NI;0
AM;Homicídio doloso;2022;abril;Feminino;8
AM;Homicídio doloso;2022;abril;Masculino;107
AM;Homicídio doloso;2022;abril;Sexo NI;1
AM;Homicídio doloso;2022;maio;Feminino;6
AM;Homicídio doloso;2022;maio;Masculino;127
AM;Homicídio doloso;2022;maio;Sexo NI;0
AM;Homicídio doloso;2022;junho;Feminino;3
AM;Homicídio doloso;2022;junho;Masculino;94
AM;Homicídio doloso;2022;junho;Sexo NI;0
AM;Homicídio doloso;2022;julho;Feminino;3
AM;Homicídio doloso;2022;julho;Masculino;102
AM;Homicídio doloso;2022;julho;Sexo NI;0
AM;Homicídio doloso;2022;agosto;Feminino;6
AM;Homicídio doloso;2022;agosto;Masculino;104
AM;Homicídio doloso;2022;agosto;Sexo NI;0
AM;Homicídio doloso;2022;setembro;Feminino;8
AM;Homicídio doloso;2022;setembro;Masculino;110
AM;Homicídio doloso;2022;setembro;Sexo NI;0
AM;Homicídio doloso;2022;outubro;Feminino;5
AM;Homicídio doloso;2022;outubro;Masculino;120
AM;Homicídio doloso;2022;outubro;Sexo NI;1
AM;Homicídio doloso;2022;novembro;Feminino;8
AM;Homicídio doloso;2022;novembro;Masculino;101
AM;Homicídio doloso;2022;novembro;Sexo NI;0
AM;Homicídio doloso;2022;dezembro;Feminino;6
AM;Homicídio doloso;2022;dezembro;Masculino;110
AM;Homicídio doloso;2022;dezembro;Sexo NI;0
AM;Lesão corporal seguida de morte;2022;janeiro;Feminino;0
AM;Lesão corporal seguida de morte;2022;janeiro;Masculino;1
AM;Lesão corporal seguida de morte;2022;janeiro;Sexo NI;0
AM;Lesão corporal seguida de morte;2022;fevereiro;Feminino;0
AM;Lesão corporal seguida de morte;2022;fevereiro;Masculino;2
AM;Lesão corporal seguida de morte;2022;fevereiro;Sexo NI;0
AM;Lesão corporal seguida de morte;2022;março;Feminino;0
AM;Lesão corporal seguida de morte;2022;março;Masculino;5
AM;Lesão corporal seguida de morte;2022;março;Sexo NI;0
AM;Lesão corporal seguida de morte;2022;abril;Feminino;4
AM;Lesão corporal seguida de morte;2022;abril;Sexo NI;1
AM;Lesão corporal seguida de morte;2022;maio;Feminino;0
AM;Lesão corporal seguida de morte;2022;maio;Masculino;2
AM;Lesão corporal seguida de morte;2022;maio;Sexo NI;0
AM;Lesão corporal seguida de morte;2022;junho;Feminino;0
AM;Lesão corporal seguida de morte;2022;junho;Masculino;0
AM;Lesão corporal seguida de morte;2022;junho;Sexo NI;0
AM;Lesão corporal seguida de morte;2022;julho;Feminino;0
AM;Lesão corporal seguida de morte;2022;julho;Masculino;2
AM;Lesão corporal seguida de morte;2022;julho;Sexo NI;0
AM;Lesão corporal seguida de morte;2022;agosto;Feminino;0
AM;Lesão corporal seguida de morte;2022;agosto;Masculino;1
AM;Lesão corporal seguida de morte;2022;agosto;Sexo NI;0
AM;Lesão corporal seguida de morte;2022;setembro;Feminino;0
AM;Lesão corporal seguida de morte;2022;setembro;Masculino;4
AM;Lesão corporal seguida de morte;2022;setembro;Sexo NI;0
AM;Lesão corporal seguida de morte;2022;outubro;Feminino;0
AM;Lesão corporal seguida de morte;2022;outubro;Masculino;5
AM;Lesão corporal seguida de morte;2022;outubro;Sexo NI;0
AM;Lesão corporal seguida de morte;2022;novembro;Feminino;0
AM;Lesão corporal seguida de morte;2022;novembro;Masculino;5
AM;Lesão corporal seguida de morte;2022;novembro;Sexo NI;0
AM;Lesão corporal seguida de morte;2022;dezembro;Feminino;0
AM;Lesão corporal seguida de morte;2022;dezembro;Masculino;2
AM;Lesão corporal seguida de morte;2022;dezembro;Sexo NI;0
AM;Roubo seguido de morte (latrocínio);2022;janeiro;Feminino;1
AM;Roubo seguido de morte (latrocínio);2022;janeiro;Masculino;4
AM;Roubo seguido de morte (latrocínio);2022;janeiro;Sexo NI;0
AM;Roubo seguido de morte (latrocínio);2022;fevereiro;Feminino;1
AM;Roubo seguido de morte (latrocínio);2022;fevereiro;Masculino;4
AM;Roubo seguido de morte (latrocínio);2022;fevereiro;Sexo NI;0
AM;Roubo seguido de morte (latrocínio);2022;março;Feminino;0
AM;Roubo seguido de morte (latrocínio);2022;março;Masculino;5
AM;Roubo seguido de morte (latrocínio);2022;março;Sexo NI;0
AM;Roubo seguido de morte (latrocínio);2022;abril;Feminino;1
AM;Roubo seguido de morte (latrocínio);2022;abril;Masculino;3
AM;Roubo seguido de morte (latrocínio);2022;maio;Feminino;1
AM;Roubo seguido de morte (latrocínio);2022;maio;Masculino;6
AM;Roubo seguido de morte (latrocínio);2022;maio;Sexo NI;0
AM;Roubo seguido de morte (latrocínio);2022;junho;Feminino;0
AM;Roubo seguido de morte (latrocínio);2022;junho;Masculino;4
AM;Roubo seguido de morte (latrocínio);2022;junho;Sexo NI;0
AM;Roubo seguido de morte (latrocínio);2022;julho;Feminino;0
AM;Roubo seguido de morte (latrocínio);2022;julho;Masculino;6
AM;Roubo seguido de morte (latrocínio);2022;julho;Sexo NI;0
AM;Roubo seguido de morte (latrocínio);2022;agosto;Feminino;0
AM;Roubo seguido de morte (latrocínio);2022;agosto;Masculino;3
AM;Roubo seguido de morte (latrocínio);2022;agosto;Sexo NI;0
AM;Roubo seguido de morte (latrocínio);2022;setembro;Feminino;0
AM;Roubo seguido de morte (latrocínio);2022;setembro;Masculino;2
AM;Roubo seguido de morte (latrocínio);2022;setembro;Sexo NI;0
AM;Roubo seguido de morte (latrocínio);2022;outubro;Feminino;1
AM;Roubo seguido de morte (latrocínio);2022;outubro;Masculino;4
AM;Roubo seguido de morte (latrocínio);2022;outubro;Sexo NI;0
AM;Roubo seguido de morte (latrocínio);2022;novembro;Feminino;0
AM;Roubo seguido de morte (latrocínio);2022;novembro;Masculino;5
AM;Roubo seguido de morte (latrocínio);2022;novembro;Sexo NI;0
AM;Roubo seguido de morte (latrocínio);2022;dezembro;Feminino;0
AM;Roubo seguido de morte (latrocínio);2022;dezembro;Masculino;5
AM;Roubo seguido de morte (latrocínio);2022;dezembro;Sexo NI;0
BA;Homicídio doloso;2022;janeiro;Feminino;39
BA;Homicídio doloso;2022;janeiro;Masculino;359
BA;Homicídio doloso;2022;janeiro;Sexo NI;0
BA;Homicídio doloso;2022;fevereiro;Feminino;27
BA;Homicídio doloso;2022;fevereiro;Masculino;393
BA;Homicídio doloso;2022;fevereiro;Sexo NI;0
BA;Homicídio doloso;2022;março;Feminino;25
BA;Homicídio doloso;2022;março;Masculino;463
BA;Homicídio doloso;2022;março;Sexo NI;0
BA;Homicídio doloso;2022;abril;Feminino;34
BA;Homicídio doloso;2022;abril;Masculino;396
BA;Homicídio doloso;2022;abril;Sexo NI;2
BA;Homicídio doloso;2022;maio;Feminino;46
BA;Homicídio doloso;2022;maio;Masculino;412
BA;Homicídio doloso;2022;maio;Sexo NI;0
BA;Homicídio doloso;2022;junho;Feminino;27
BA;Homicídio doloso;2022;junho;Masculino;356
BA;Homicídio doloso;2022;junho;Sexo NI;0
BA;Homicídio doloso;2022;julho;Feminino;31
BA;Homicídio doloso;2022;julho;Masculino;370
BA;Homicídio doloso;2022;julho;Sexo NI;0
BA;Homicídio doloso;2022;agosto;Feminino;40
BA;Homicídio doloso;2022;agosto;Masculino;330
BA;Homicídio doloso;2022;agosto;Sexo NI;0
BA;Homicídio doloso;2022;setembro;Feminino;23
BA;Homicídio doloso;2022;setembro;Masculino;366
BA;Homicídio doloso;2022;setembro;Sexo NI;0
BA;Homicídio doloso;2022;outubro;Feminino;35
BA;Homicídio doloso;2022;outubro;Masculino;418
BA;Homicídio doloso;2022;outubro;Sexo NI;1
BA;Homicídio doloso;2022;novembro;Feminino;27
BA;Homicídio doloso;2022;novembro;Masculino;383
BA;Homicídio doloso;2022;novembro;Sexo NI;0
BA;Homicídio doloso;2022;dezembro;Feminino;42
BA;Homicídio doloso;2022;dezembro;Masculino;384
BA;Homicídio doloso;2022;dezembro;Sexo NI;1
BA;Lesão corporal seguida de morte;2022;janeiro;Feminino;3
BA;Lesão corporal seguida de morte;2022;janeiro;Masculino;1
BA;Lesão corporal seguida de morte;2022;janeiro;Sexo NI;0
BA;Lesão corporal seguida de morte;2022;fevereiro;Feminino;0
BA;Lesão corporal seguida de morte;2022;fevereiro;Masculino;4
BA;Lesão corporal seguida de morte;2022;fevereiro;Sexo NI;0
BA;Lesão corporal seguida de morte;2022;março;Feminino;0
BA;Lesão corporal seguida de morte;2022;março;Masculino;5
BA;Lesão corporal seguida de morte;2022;março;Sexo NI;0
BA;Lesão corporal seguida de morte;2022;abril;Feminino;0
BA;Lesão corporal seguida de morte;2022;abril;Masculino;5
BA;Lesão corporal seguida de morte;2022;abril;Sexo NI;0
BA;Lesão corporal seguida de morte;2022;maio;Feminino;0
BA;Lesão corporal seguida de morte;2022;maio;Masculino;4
BA;Lesão corporal seguida de morte;2022;maio;Sexo NI;0
BA;Lesão corporal seguida de morte;2022;junho;Feminino;0
BA;Lesão corporal seguida de morte;2022;junho;Masculino;10
BA;Lesão corporal seguida de morte;2022;junho;Sexo NI;0
BA;Lesão corporal seguida de morte;2022;julho;Feminino;0
BA;Lesão corporal seguida de morte;2022;julho;Masculino;1
BA;Lesão corporal seguida de morte;2022;julho;Sexo NI;0
BA;Lesão corporal seguida de morte;2022;agosto;Feminino;1
BA;Lesão corporal seguida de morte;2022;agosto;Masculino;5
BA;Lesão corporal seguida de morte;2022;agosto;Sexo NI;0
BA;Lesão corporal seguida de morte;2022;setembro;Feminino;0
BA;Lesão corporal seguida de morte;2022;setembro;Masculino;4
BA;Lesão corporal seguida de morte;2022;setembro;Sexo NI;0
BA;Lesão corporal seguida de morte;2022;outubro;Feminino;0
BA;Lesão corporal seguida de morte;2022;outubro;Masculino;3
BA;Lesão corporal seguida de morte;2022;outubro;Sexo NI;0
BA;Lesão corporal seguida de morte;2022;novembro;Feminino;1
BA;Lesão corporal seguida de morte;2022;novembro;Masculino;7
BA;Lesão corporal seguida de morte;2022;novembro;Sexo NI;0
BA;Lesão corporal seguida de morte;2022;dezembro;Feminino;0
BA;Lesão corporal seguida de morte;2022;dezembro;Masculino;3
BA;Lesão corporal seguida de morte;2022;dezembro;Sexo NI;0
BA;Roubo seguido de morte (latrocínio);2022;janeiro;Feminino;0
BA;Roubo seguido de morte (latrocínio);2022;janeiro;Masculino;4
BA;Roubo seguido de morte (latrocínio);2022;janeiro;Sexo NI;0
BA;Roubo seguido de morte (latrocínio);2022;fevereiro;Feminino;1
BA;Roubo seguido de morte (latrocínio);2022;fevereiro;Masculino;7
BA;Roubo seguido de morte (latrocínio);2022;fevereiro;Sexo NI;0
BA;Roubo seguido de morte (latrocínio);2022;março;Feminino;0
BA;Roubo seguido de morte (latrocínio);2022;março;Masculino;5
BA;Roubo seguido de morte (latrocínio);2022;março;Sexo NI;0
BA;Roubo seguido de morte (latrocínio);2022;abril;Feminino;1
BA;Roubo seguido de morte (latrocínio);2022;abril;Masculino;7
BA;Roubo seguido de morte (latrocínio);2022;abril;Sexo NI;0
BA;Roubo seguido de morte (latrocínio);2022;maio;Feminino;1
BA;Roubo seguido de morte (latrocínio);2022;maio;Masculino;4
BA;Roubo seguido de morte (latrocínio);2022;maio;Sexo NI;0
BA;Roubo seguido de morte (latrocínio);2022;junho;Feminino;1
BA;Roubo seguido de morte (latrocínio);2022;junho;Masculino;11
BA;Roubo seguido de morte (latrocínio);2022;junho;Sexo NI;0
BA;Roubo seguido de morte (latrocínio);2022;julho;Feminino;1
BA;Roubo seguido de morte (latrocínio);2022;julho;Masculino;5
BA;Roubo seguido de morte (latrocínio);2022;julho;Sexo NI;0
BA;Roubo seguido de morte (latrocínio);2022;agosto;Feminino;1
BA;Roubo seguido de morte (latrocínio);2022;agosto;Masculino;5
BA;Roubo seguido de morte (latrocínio);2022;agosto;Sexo NI;0
BA;Roubo seguido de morte (latrocínio);2022;setembro;Feminino;2
BA;Roubo seguido de morte (latrocínio);2022;setembro;Masculino;5
BA;Roubo seguido de morte (latrocínio);2022;setembro;Sexo NI;0
BA;Roubo seguido de morte (latrocínio);2022;outubro;Feminino;1
BA;Roubo seguido de morte (latrocínio);2022;outubro;Masculino;8
BA;Roubo seguido de morte (latrocínio);2022;outubro;Sexo NI;0
BA;Roubo seguido de morte (latrocínio);2022;novembro;Feminino;0
BA;Roubo seguido de morte (latrocínio);2022;novembro;Masculino;5
BA;Roubo seguido de morte (latrocínio);2022;novembro;Sexo NI;0
BA;Roubo seguido de morte (latrocínio);2022;dezembro;Feminino;2
BA;Roubo seguido de morte (latrocínio);2022;dezembro;Masculino;8
BA;Roubo seguido de morte (latrocínio);2022;dezembro;Sexo NI;0
CE;Homicídio doloso;2022;janeiro;Feminino;17
CE;Homicídio doloso;2022;janeiro;Masculino;225
CE;Homicídio doloso;2022;janeiro;Sexo NI;0
CE;Homicídio doloso;2022;fevereiro;Feminino;17
CE;Homicídio doloso;2022;fevereiro;Masculino;252
CE;Homicídio doloso;2022;fevereiro;Sexo NI;0
CE;Homicídio doloso;2022;março;Feminino;19
CE;Homicídio doloso;2022;março;Masculino;204
CE;Homicídio doloso;2022;março;Sexo NI;0
CE;Homicídio doloso;2022;abril;Feminino;22
CE;Homicídio doloso;2022;abril;Masculino;212
CE;Homicídio doloso;2022;abril;Sexo NI;0
CE;Homicídio doloso;2022;maio;Feminino;23
CE;Homicídio doloso;2022;maio;Masculino;241
CE;Homicídio doloso;2022;maio;Sexo NI;0
CE;Homicídio doloso;2022;junho;Feminino;17
CE;Homicídio doloso;2022;junho;Masculino;191
CE;Homicídio doloso;2022;junho;Sexo NI;0
CE;Homicídio doloso;2022;julho;Feminino;22
CE;Homicídio doloso;2022;julho;Masculino;221
CE;Homicídio doloso;2022;julho;Sexo NI;0
CE;Homicídio doloso;2022;agosto;Feminino;13
CE;Homicídio doloso;2022;agosto;Masculino;232
CE;Homicídio doloso;2022;agosto;Sexo NI;0
CE;Homicídio doloso;2022;setembro;Feminino;21
CE;Homicídio doloso;2022;setembro;Masculino;222
CE;Homicídio doloso;2022;setembro;Sexo NI;0
CE;Homicídio doloso;2022;outubro;Feminino;22
CE;Homicídio doloso;2022;outubro;Masculino;224
CE;Homicídio doloso;2022;outubro;Sexo NI;0
CE;Homicídio doloso;2022;novembro;Feminino;19
CE;Homicídio doloso;2022;novembro;Masculino;209
CE;Homicídio doloso;2022;novembro;Sexo NI;0
CE;Homicídio doloso;2022;dezembro;Feminino;24
CE;Homicídio doloso;2022;dezembro;Masculino;213
CE;Homicídio doloso;2022;dezembro;Sexo NI;0
CE;Lesão corporal seguida de morte;2022;janeiro;Feminino;0
CE;Lesão corporal seguida de morte;2022;janeiro;Masculino;1
CE;Lesão corporal seguida de morte;2022;janeiro;Sexo NI;0
CE;Lesão corporal seguida de morte;2022;fevereiro;Feminino;0
CE;Lesão corporal seguida de morte;2022;fevereiro;Masculino;1
CE;Lesão corporal seguida de morte;2022;fevereiro;Sexo NI;0
CE;Lesão corporal seguida de morte;2022;março;Feminino;0
CE;Lesão corporal seguida de morte;2022;março;Masculino;1
CE;Lesão corporal seguida de morte;2022;março;Sexo NI;0
CE;Lesão corporal seguida de morte;2022;abril;Feminino;0
CE;Lesão corporal seguida de morte;2022;abril;Masculino;0
CE;Lesão corporal seguida de morte;2022;abril;Sexo NI;0
CE;Lesão corporal seguida de morte;2022;maio;Feminino;1
CE;Lesão corporal seguida de morte;2022;maio;Masculino;2
CE;Lesão corporal seguida de morte;2022;maio;Sexo NI;0
CE;Lesão corporal seguida de morte;2022;junho;Feminino;0
CE;Lesão corporal seguida de morte;2022;junho;Masculino;2
CE;Lesão corporal seguida de morte;2022;junho;Sexo NI;0
CE;Lesão corporal seguida de morte;2022;julho;Feminino;0
CE;Lesão corporal seguida de morte;2022;julho;Masculino;5
CE;Lesão corporal seguida de morte;2022;julho;Sexo NI;0
CE;Lesão corporal seguida de morte;2022;agosto;Feminino;0
CE;Lesão corporal seguida de morte;2022;agosto;Masculino;0
CE;Lesão corporal seguida de morte;2022;agosto;Sexo NI;0
CE;Lesão corporal seguida de morte;2022;setembro;Feminino;0
CE;Lesão corporal seguida de morte;2022;setembro;Masculino;1
CE;Lesão corporal seguida de morte;2022;setembro;Sexo NI;0
CE;Lesão corporal seguida de morte;2022;outubro;Feminino;0
CE;Lesão corporal seguida de morte;2022;outubro;Masculino;1
CE;Lesão corporal seguida de morte;2022;outubro;Sexo NI;0
CE;Lesão corporal seguida de morte;2022;novembro;Feminino;0
CE;Lesão corporal seguida de morte;2022;novembro;Masculino;1
CE;Lesão corporal seguida de morte;2022;novembro;Sexo NI;0
CE;Lesão corporal seguida de morte;2022;dezembro;Feminino;0
CE;Lesão corporal seguida de morte;2022;dezembro;Masculino;0
