UF;Tipo Crime;Ano;Mês;Ocorrências
AP;Tentativa de homicídio;2022;fevereiro;12
AP;Estupro;2022;março;5
AP;Furto de veículo;2022;março;28
AP;Homicídio doloso;2022;março;12
AP;Lesão corporal seguida de morte;2022;março;1
AP;Roubo a instituição financeira;2022;março;0
AP;Roubo de carga;2022;março;1
AP;Roubo de veículo;2022;março;37
AP;Roubo seguido de morte (latrocínio);2022;março;1
AP;Tentativa de homicídio;2022;março;10
AP;Estupro;2022;abril;10
AP;Furto de veículo;2022;abril;35
AP;Homicídio doloso;2022;abril;15
AP;Lesão corporal seguida de morte;2022;abril;0
AP;Roubo a instituição financeira;2022;abril;1
AP;Roubo de carga;2022;abril;5
AP;Roubo de veículo;2022;abril;42
AP;Roubo seguido de morte (latrocínio);2022;abril;2
AP;Tentativa de homicídio;2022;abril;15
AP;Estupro;2022;maio;12
AP;Furto de veículo;2022;maio;26
AP;Homicídio doloso;2022;maio;13
AP;Lesão corporal seguida de morte;2022;maio;2
AP;Roubo de veículo;2022;maio;29
AP;Roubo seguido de morte (latrocínio);2022;maio;2
AP;Tentativa de homicídio;2022;maio;19
AP;Estupro;2022;junho;12
AP;Furto de veículo;2022;junho;21
AP;Homicídio doloso;2022;junho;13
AP;Lesão corporal seguida de morte;2022;junho;3
AP;Roubo a instituição financeira;2022;junho;1
AP;Roubo de veículo;2022;junho;20
AP;Roubo seguido de morte (latrocínio);2022;junho;2
AP;Tentativa de homicídio;2022;junho;16
AP;Estupro;2022;julho;9
AP;Furto de veículo;2022;julho;18
AP;Homicídio doloso;2022;julho;13
AP;Lesão corporal seguida de morte;2022;julho;2
AP;Roubo de veículo;2022;julho;25
AP;Roubo seguido de morte (latrocínio);2022;julho;1
AP;Tentativa de homicídio;2022;julho;27
AP;Estupro;2022;agosto;8
AP;Furto de veículo;2022;agosto;26
AP;Homicídio doloso;2022;agosto;22
AP;Lesão corporal seguida de morte;2022;agosto;1
AP;Roubo a instituição financeira;2022;agosto;1
AP;Roubo de carga;2022;agosto;6
AP;Roubo de veículo;2022;agosto;34
AP;Roubo seguido de morte (latrocínio);2022;agosto;1
AP;Tentativa de homicídio;2022;agosto;12
AP;Estupro;2022;setembro;14
AP;Furto de veículo;2022;setembro;26
AP;Homicídio doloso;2022;setembro;11
AP;Lesão corporal seguida de morte;2022;setembro;3
AP;Roubo a instituição financeira;2022;setembro;1
AP;Roubo de carga;2022;setembro;5
AP;Roubo de veículo;2022;setembro;34
AP;Roubo seguido de morte (latrocínio);2022;setembro;4
AP;Tentativa de homicídio;2022;setembro;9
AP;Estupro;2022;outubro;10
AP;Furto de veículo;2022;outubro;28
AP;Homicídio doloso;2022;outubro;14
AP;Lesão corporal seguida de morte;2022;outubro;1
AP;Roubo a instituição financeira;2022;outubro;2
AP;Roubo de carga;2022;outubro;4
AP;Roubo de veículo;2022;outubro;34
AP;Tentativa de homicídio;2022;outubro;24
AP;Estupro;2022;novembro;17
AP;Furto de veículo;2022;novembro;44
AP;Homicídio doloso;2022;novembro;21
AP;Lesão corporal seguida de morte;2022;novembro;2
AP;Roubo de veículo;2022;novembro;31
AP;Tentativa de homicídio;2022;novembro;17
AP;Estupro;2022;dezembro;19
AP;Furto de veículo;2022;dezembro;24
AP;Homicídio doloso;2022;dezembro;26
AP;Lesão corporal seguida de morte;2022;dezembro;2
AP;Roubo de veículo;2022;dezembro;26
AP;Roubo seguido de morte (latrocínio);2022;dezembro;3
AP;Tentativa de homicídio;2022;dezembro;16
AM;Estupro;2022;janeiro;43
AM;Furto de veículo;2022;janeiro;176
AM;Homicídio doloso;2022;janeiro;95
AM;Lesão corporal seguida de morte;2022;janeiro;1
AM;Roubo a instituição financeira;2022;janeiro;0
AM;Roubo de carga;2022;janeiro;0
AM;Roubo de veículo;2022;janeiro;144
AM;Roubo seguido de morte (latrocínio);2022;janeiro;5
AM;Tentativa de homicídio;2022;janeiro;11
AM;Estupro;2022;fevereiro;64
AM;Furto de veículo;2022;fevereiro;204
AM;Homicídio doloso;2022;fevereiro;90
AM;Lesão corporal seguida de morte;2022;fevereiro;2
AM;Roubo a instituição financeira;2022;fevereiro;0
AM;Roubo de carga;2022;fevereiro;0
AM;Roubo de veículo;2022;fevereiro;174
AM;Roubo seguido de morte (latrocínio);2022;fevereiro;5
AM;Tentativa de homicídio;2022;fevereiro;16
AM;Estupro;2022;março;76
AM;Furto de veículo;2022;março;211
AM;Homicídio doloso;2022;março;97
AM;Lesão corporal seguida de morte;2022;março;5
AM;Roubo a instituição financeira;2022;março;0
AM;Roubo de carga;2022;março;1
AM;Roubo de veículo;2022;março;164
AM;Roubo seguido de morte (latrocínio);2022;março;5
AM;Tentativa de homicídio;2022;março;27
AM;Estupro;2022;abril;81
AM;Furto de veículo;2022;abril;195
AM;Homicídio doloso;2022;abril;115
AM;Lesão corporal seguida de morte;2022;abril;5
AM;Roubo a instituição financeira;2022;abril;0
AM;Roubo de carga;2022;abril;3
AM;Roubo de veículo;2022;abril;113
AM;Roubo seguido de morte (latrocínio);2022;abril;4
AM;Tentativa de homicídio;2022;abril;33
AM;Estupro;2022;maio;72
AM;Furto de veículo;2022;maio;220
AM;Homicídio doloso;2022;maio;127
AM;Lesão corporal seguida de morte;2022;maio;2
AM;Roubo a instituição financeira;2022;maio;0
AM;Roubo de carga;2022;maio;0
AM;Roubo de veículo;2022;maio;118
AM;Roubo seguido de morte (latrocínio);2022;maio;7
AM;Tentativa de homicídio;2022;maio;16
AM;Estupro;2022;junho;81
AM;Furto de veículo;2022;junho;178
AM;Homicídio doloso;2022;junho;96
AM;Lesão corporal seguida de morte;2022;junho;0
AM;Roubo a instituição financeira;2022;junho;0
AM;Roubo de carga;2022;junho;2
AM;Roubo de veículo;2022;junho;111
AM;Roubo seguido de morte (latrocínio);2022;junho;4
AM;Tentativa de homicídio;2022;junho;17
AM;Estupro;2022;julho;100
AM;Furto de veículo;2022;julho;231
AM;Homicídio doloso;2022;julho;101
AM;Lesão corporal seguida de morte;2022;julho;2
AM;Roubo a instituição financeira;2022;julho;0
AM;Roubo de carga;2022;julho;0
AM;Roubo de veículo;2022;julho;116
AM;Roubo seguido de morte (latrocínio);2022;julho;6
AM;Tentativa de homicídio;2022;julho;25
AM;Estupro;2022;agosto;88
AM;Furto de veículo;2022;agosto;157
AM;Homicídio doloso;2022;agosto;109
AM;Lesão corporal seguida de morte;2022;agosto;1
AM;Roubo a instituição financeira;2022;agosto;1
AM;Roubo de carga;2022;agosto;6
AM;Roubo de veículo;2022;agosto;118
AM;Roubo seguido de morte (latrocínio);2022;agosto;3
AM;Tentativa de homicídio;2022;agosto;26
AM;Estupro;2022;setembro;99
AM;Furto de veículo;2022;setembro;208
AM;Homicídio doloso;2022;setembro;118
AM;Lesão corporal seguida de morte;2022;setembro;4
AM;Roubo a instituição financeira;2022;setembro;0
AM;Roubo de carga;2022;setembro;1
AM;Roubo de veículo;2022;setembro;100
AM;Roubo seguido de morte (latrocínio);2022;setembro;2
AM;Tentativa de homicídio;2022;setembro;20
AM;Estupro;2022;outubro;71
AM;Furto de veículo;2022;outubro;134
AM;Homicídio doloso;2022;outubro;122
AM;Lesão corporal seguida de morte;2022;outubro;5
AM;Roubo a instituição financeira;2022;outubro;0
AM;Roubo de carga;2022;outubro;2
AM;Roubo de veículo;2022;outubro;123
AM;Roubo seguido de morte (latrocínio);2022;outubro;5
AM;Tentativa de homicídio;2022;outubro;31
AM;Estupro;2022;novembro;53
AM;Furto de veículo;2022;novembro;148
AM;Homicídio doloso;2022;novembro;106
AM;Lesão corporal seguida de morte;2022;novembro;5
AM;Roubo a instituição financeira;2022;novembro;0
AM;Roubo de carga;2022;novembro;0
AM;Roubo de veículo;2022;novembro;109
AM;Roubo seguido de morte (latrocínio);2022;novembro;5
AM;Tentativa de homicídio;2022;novembro;17
AM;Estupro;2022;dezembro;83
AM;Furto de veículo;2022;dezembro;158
AM;Homicídio doloso;2022;dezembro;108
AM;Lesão corporal seguida de morte;2022;dezembro;2
AM;Roubo a instituição financeira;2022;dezembro;0
AM;Roubo de carga;2022;dezembro;2
AM;Roubo de veículo;2022;dezembro;118
AM;Roubo seguido de morte (latrocínio);2022;dezembro;5
AM;Tentativa de homicídio;2022;dezembro;41
BA;Estupro;2022;janeiro;234
BA;Furto de veículo;2022;janeiro;420
BA;Homicídio doloso;2022;janeiro;373
BA;Lesão corporal seguida de morte;2022;janeiro;4
BA;Roubo a instituição financeira;2022;janeiro;0
BA;Roubo de carga;2022;janeiro;30
BA;Roubo de veículo;2022;janeiro;903
BA;Roubo seguido de morte (latrocínio);2022;janeiro;4
BA;Tentativa de homicídio;2022;janeiro;154
BA;Estupro;2022;fevereiro;243
BA;Furto de veículo;2022;fevereiro;437
BA;Homicídio doloso;2022;fevereiro;387
BA;Lesão corporal seguida de morte;2022;fevereiro;4
BA;Roubo a instituição financeira;2022;fevereiro;3
BA;Roubo de carga;2022;fevereiro;34
BA;Roubo de veículo;2022;fevereiro;954
BA;Roubo seguido de morte (latrocínio);2022;fevereiro;8
BA;Tentativa de homicídio;2022;fevereiro;140
BA;Estupro;2022;março;276
BA;Furto de veículo;2022;março;535
BA;Homicídio doloso;2022;março;454
BA;Lesão corporal seguida de morte;2022;março;5
BA;Roubo a instituição financeira;2022;março;0
BA;Roubo de carga;2022;março;28
BA;Roubo de veículo;2022;março;1100
BA;Roubo seguido de morte (latrocínio);2022;março;5
BA;Tentativa de homicídio;2022;março;171
BA;Estupro;2022;abril;311
BA;Furto de veículo;2022;abril;550
BA;Homicídio doloso;2022;abril;403
BA;Lesão corporal seguida de morte;2022;abril;5
BA;Roubo a instituição financeira;2022;abril;0
BA;Roubo de carga;2022;abril;17
BA;Roubo de veículo;2022;abril;948
BA;Roubo seguido de morte (latrocínio);2022;abril;8
BA;Tentativa de homicídio;2022;abril;159
BA;Estupro;2022;maio;342
BA;Furto de veículo;2022;maio;558
BA;Homicídio doloso;2022;maio;412
BA;Lesão corporal seguida de morte;2022;maio;4
BA;Roubo a instituição financeira;2022;maio;0
BA;Roubo de carga;2022;maio;28
BA;Roubo de veículo;2022;maio;986
BA;Roubo seguido de morte (latrocínio);2022;maio;5
BA;Tentativa de homicídio;2022;maio;163
BA;Estupro;2022;junho;321
BA;Furto de veículo;2022;junho;614
BA;Homicídio doloso;2022;junho;362
BA;Lesão corporal seguida de morte;2022;junho;10
BA;Roubo a instituição financeira;2022;junho;0
BA;Roubo de carga;2022;junho;16
BA;Roubo de veículo;2022;junho;1032
BA;Roubo seguido de morte (latrocínio);2022;junho;12
BA;Tentativa de homicídio;2022;junho;211
BA;Estupro;2022;julho;332
BA;Furto de veículo;2022;julho;653
BA;Homicídio doloso;2022;julho;376
BA;Lesão corporal seguida de morte;2022;julho;1
BA;Roubo a instituição financeira;2022;julho;0
BA;Roubo de carga;2022;julho;30
BA;Roubo de veículo;2022;julho;1034
BA;Roubo seguido de morte (latrocínio);2022;julho;5
BA;Tentativa de homicídio;2022;julho;177
BA;Estupro;2022;agosto;352
BA;Furto de veículo;2022;agosto;577
BA;Homicídio doloso;2022;agosto;350
BA;Lesão corporal seguida de morte;2022;agosto;6
BA;Roubo a instituição financeira;2022;agosto;0
BA;Roubo de carga;2022;agosto;28
BA;Roubo de veículo;2022;agosto;1046
BA;Roubo seguido de morte (latrocínio);2022;agosto;6
BA;Tentativa de homicídio;2022;agosto;165
BA;Estupro;2022;setembro;339
BA;Furto de veículo;2022;setembro;575
BA;Homicídio doloso;2022;setembro;355
BA;Lesão corporal seguida de morte;2022;setembro;4
BA;Roubo a instituição financeira;2022;setembro;0
BA;Roubo de carga;2022;setembro;27
BA;Roubo de veículo;2022;setembro;1050
BA;Roubo seguido de morte (latrocínio);2022;setembro;7
BA;Tentativa de homicídio;2022;setembro;188
BA;Estupro;2022;outubro;383
BA;Furto de veículo;2022;outubro;607
BA;Homicídio doloso;2022;outubro;421
BA;Lesão corporal seguida de morte;2022;outubro;3
BA;Roubo a instituição financeira;2022;outubro;3
BA;Roubo de carga;2022;outubro;30
BA;Roubo de veículo;2022;outubro;1019
BA;Roubo seguido de morte (latrocínio);2022;outubro;9
BA;Tentativa de homicídio;2022;outubro;202
BA;Estupro;2022;novembro;328
BA;Furto de veículo;2022;novembro;576
BA;Homicídio doloso;2022;novembro;386
BA;Lesão corporal seguida de morte;2022;novembro;8
BA;Roubo a instituição financeira;2022;novembro;0
BA;Roubo de carga;2022;novembro;26
BA;Roubo de veículo;2022;novembro;1049
BA;Roubo seguido de morte (latrocínio);2022;novembro;5
BA;Tentativa de homicídio;2022;novembro;191
BA;Estupro;2022;dezembro;288
BA;Furto de veículo;2022;dezembro;564
BA;Homicídio doloso;2022;dezembro;408
BA;Lesão corporal seguida de morte;2022;dezembro;3
BA;Roubo a instituição financeira;2022;dezembro;0
BA;Roubo de carga;2022;dezembro;44
BA;Roubo de veículo;2022;dezembro;1103
BA;Roubo seguido de morte (latrocínio);2022;dezembro;10
BA;Tentativa de homicídio;2022;dezembro;163
CE;Estupro;2022;janeiro;111
CE;Furto de veículo;2022;janeiro;345
CE;Homicídio doloso;2022;janeiro;241
CE;Lesão corporal seguida de morte;2022;janeiro;1
CE;Roubo a instituição financeira;2022;janeiro;0
CE;Roubo de carga;2022;janeiro;4
CE;Roubo de veículo;2022;janeiro;666
CE;Roubo seguido de morte (latrocínio);2022;janeiro;6
CE;Tentativa de homicídio;2022;janeiro;64
CE;Estupro;2022;fevereiro;109
CE;Furto de veículo;2022;fevereiro;396
CE;Homicídio doloso;2022;fevereiro;252
CE;Lesão corporal seguida de morte;2022;fevereiro;1
CE;Roubo a instituição financeira;2022;fevereiro;0
CE;Roubo de carga;2022;fevereiro;4
CE;Roubo de veículo;2022;fevereiro;583
CE;Roubo seguido de morte (latrocínio);2022;fevereiro;0
CE;Tentativa de homicídio;2022;fevereiro;83
CE;Estupro;2022;março;146
CE;Furto de veículo;2022;março;379
CE;Homicídio doloso;2022;março;214
CE;Lesão corporal seguida de morte;2022;março;1
CE;Roubo a instituição financeira;2022;março;0
CE;Roubo de carga;2022;março;3
CE;Roubo de veículo;2022;março;629
CE;Roubo seguido de morte (latrocínio);2022;março;3
CE;Tentativa de homicídio;2022;março;81
CE;Estupro;2022;abril;122
CE;Furto de veículo;2022;abril;453
CE;Homicídio doloso;2022;abril;218
CE;Lesão corporal seguida de morte;2022;abril;0
CE;Roubo a instituição financeira;2022;abril;0
CE;Roubo de carga;2022;abril;2
CE;Roubo de veículo;2022;abril;660
CE;Roubo seguido de morte (latrocínio);2022;abril;5
CE;Tentativa de homicídio;2022;abril;102
CE;Estupro;2022;maio;178
CE;Furto de veículo;2022;maio;476
CE;Homicídio doloso;2022;maio;248
CE;Lesão corporal seguida de morte;2022;maio;3
CE;Roubo a instituição financeira;2022;maio;0
CE;Roubo de carga;2022;maio;5
CE;Roubo de veículo;2022;maio;626
CE;Roubo seguido de morte (latrocínio);2022;maio;1
CE;Tentativa de homicídio;2022;maio;79
CE;Estupro;2022;junho;142
CE;Furto de veículo;2022;junho;513
CE;Homicídio doloso;2022;junho;203
CE;Lesão corporal seguida de morte;2022;junho;2
CE;Roubo a instituição financeira;2022;junho;1
CE;Roubo de carga;2022;junho;8
CE;Roubo de veículo;2022;junho;576
CE;Roubo seguido de morte (latrocínio);2022;junho;3
CE;Tentativa de homicídio;2022;junho;73
CE;Estupro;2022;julho;157
CE;Furto de veículo;2022;julho;464
CE;Homicídio doloso;2022;julho;229
CE;Lesão corporal seguida de morte;2022;julho;5
CE;Roubo a instituição financeira;2022;julho;0
CE;Roubo de carga;2022;julho;6
CE;Roubo de veículo;2022;julho;618
CE;Roubo seguido de morte (latrocínio);2022;julho;5
CE;Tentativa de homicídio;2022;julho;78
CE;Estupro;2022;agosto;192
CE;Furto de veículo;2022;agosto;549
CE;Homicídio doloso;2022;agosto;230
CE;Lesão corporal seguida de morte;2022;agosto;0
CE;Roubo a instituição financeira;2022;agosto;2
CE;Roubo de carga;2022;agosto;8
CE;Roubo de veículo;2022;agosto;626
CE;Roubo seguido de morte (latrocínio);2022;agosto;3
CE;Tentativa de homicídio;2022;agosto;77
CE;Estupro;2022;setembro;185
CE;Furto de veículo;2022;setembro;482
CE;Homicídio doloso;2022;setembro;224
CE;Lesão corporal seguida de morte;2022;setembro;1
CE;Roubo a instituição financeira;2022;setembro;1
CE;Roubo de carga;2022;setembro;11
CE;Roubo de veículo;2022;setembro;669
CE;Roubo seguido de morte (latrocínio);2022;setembro;5
CE;Tentativa de homicídio;2022;setembro;82
CE;Estupro;2022;outubro;190
CE;Furto de veículo;2022;outubro;594
CE;Homicídio doloso;2022;outubro;232
CE;Lesão corporal seguida de morte;2022;outubro;1
CE;Roubo a instituição financeira;2022;outubro;2
CE;Roubo de carga;2022;outubro;0
CE;Roubo de veículo;2022;outubro;612
CE;Roubo seguido de morte (latrocínio);2022;outubro;0
CE;Tentativa de homicídio;2022;outubro;95
CE;Estupro;2022;novembro;133
CE;Furto de veículo;2022;novembro;631
CE;Homicídio doloso;2022;novembro;217
CE;Lesão corporal seguida de morte;2022;novembro;1
CE;Roubo a instituição financeira;2022;novembro;0
CE;Roubo de carga;2022;novembro;4
CE;Roubo de veículo;2022;novembro;705
CE;Roubo seguido de morte (latrocínio);2022;novembro;4
CE;Tentativa de homicídio;2022;novembro;102
CE;Estupro;2022;dezembro;136
CE;Furto de veículo;2022;dezembro;622
CE;Homicídio doloso;2022;dezembro;229
CE;Lesão corporal seguida de morte;2022;dezembro;0
CE;Roubo a instituição financeira;2022;dezembro;1
CE;Roubo de carga;2022;dezembro;11
CE;Roubo de veículo;2022;dezembro;727
CE;Roubo seguido de morte (latrocínio);2022;dezembro;7
CE;Tentativa de homicídio;2022;dezembro;99
DF;Estupro;2022;janeiro;48
DF;Furto de veículo;2022;janeiro;286
DF;Homicídio doloso;2022;janeiro;14
DF;Lesão corporal seguida de morte;2022;janeiro;0
DF;Roubo a instituição financeira;2022;janeiro;0
DF;Roubo de carga;2022;janeiro;3
DF;Roubo de veículo;2022;janeiro;128
DF;Roubo seguido de morte (latrocínio);2022;janeiro;2
DF;Tentativa de homicídio;2022;janeiro;40
DF;Estupro;2022;fevereiro;50
DF;Furto de veículo;2022;fevereiro;251
DF;Homicídio doloso;2022;fevereiro;25
DF;Lesão corporal seguida de morte;2022;fevereiro;1
DF;Roubo a instituição financeira;2022;fevereiro;0
DF;Roubo de carga;2022;fevereiro;3
DF;Roubo de veículo;2022;fevereiro;143
DF;Roubo seguido de morte (latrocínio);2022;fevereiro;0
DF;Tentativa de homicídio;2022;fevereiro;32
DF;Estupro;2022;março;50
DF;Furto de veículo;2022;março;296
DF;Homicídio doloso;2022;março;20
DF;Lesão corporal seguida de morte;2022;março;1
DF;Roubo a instituição financeira;2022;março;0
DF;Roubo de carga;2022;março;0
DF;Roubo de veículo;2022;março;143
DF;Roubo seguido de morte (latrocínio);2022;março;2
DF;Tentativa de homicídio;2022;março;50
DF;Estupro;2022;abril;64
DF;Furto de veículo;2022;abril;381
DF;Homicídio doloso;2022;abril;16
DF;Lesão corporal seguida de morte;2022;abril;0
DF;Roubo a instituição financeira;2022;abril;0
DF;Roubo de carga;2022;abril;2
DF;Roubo de veículo;2022;abril;131
DF;Roubo seguido de morte (latrocínio);2022;abril;2
DF;Tentativa de homicídio;2022;abril;59
DF;Estupro;2022;maio;51
DF;Furto de veículo;2022;maio;373
DF;Homicídio doloso;2022;maio;19
DF;Lesão corporal seguida de morte;2022;maio;0
DF;Roubo a instituição financeira;2022;maio;0
DF;Roubo de carga;2022;maio;4
